,Country,HDI,Total Population (millions) 2015,Total Population (millions) 2030,Life expectancy,Gross national income (GNI) per capita,Inequality in income (%),Mean years of schooling,Mean years of schooling Female,Mean years of schooling Male,Inequality in education(%),Average annual HDI growth 1990-2000,Average annual HDI growth 2000-2010,Average annual HDI growth 2010-2015,Average annual HDI growth 1990-2015
13,Sweden,0.9129999999999999,9.8000001907,10.800000190699999,82.3,46251.0,13.1,12.3,12.4,12.2,3.4,0.73,0.28,0.25,0.45
14,Liechtenstein,0.912,0.0,0.0,80.2,75065.0,,12.4,,,,,0.48,0.16,
15,United Kingdom,0.909,64.6999969482,70.0999984741,80.8,37931.0,16.2,13.3,13.2,13.4,2.8,1.13,0.41,0.16,0.64
16,Japan,0.903,126.5999984741,120.0999984741,83.7,37268.0,13.5,12.5,12.6,12.4,19.8,0.51,0.32,0.44,0.42
17,Korea (Republic of),0.9009999999999999,50.2999992371,52.5,82.1,34541.0,18.4,12.2,11.5,12.9,25.5,1.15,0.76,0.37,0.84
18,Israel,0.899,8.1000003815,10.0,82.6,31215.0,26.4,12.8,12.8,12.7,8.4,0.81,0.38,0.35,0.54
19,Luxembourg,0.898,0.6000000238000001,0.6999999881,81.9,62471.0,15.1,12.0,11.6,12.3,5.8,0.88,0.46,0.11,0.56
20,France,0.897,64.4000015259,68.0,82.4,38085.0,16.3,11.6,11.5,11.8,7.5,0.86,0.39,0.34,0.57
21,Belgium,0.8959999999999999,11.300000190699999,12.0,81.0,41243.0,12.7,11.4,11.2,11.6,8.1,0.81,0.12,0.27,0.42
22,Finland,0.895,5.5,5.6999998092999995,81.0,38868.0,11.6,11.2,11.5,11.1,2.0,0.9,0.25,0.37,0.53
23,Austria,0.893,8.5,8.8000001907,81.6,43609.0,17.5,11.3,10.8,11.8,4.3,0.53,0.5,0.31,0.47
24,Slovenia,0.89,2.0999999046,2.0999999046,80.6,28664.0,11.3,12.1,11.9,12.2,2.6,0.73,0.61,0.33,0.6
25,Italy,0.887,59.7999992371,59.0999984741,83.3,33573.0,20.8,10.9,10.5,11.0,9.9,0.76,0.51,0.34,0.58
26,Spain,0.884,46.0999984741,45.9000015259,82.8,32779.0,21.8,9.8,9.6,10.0,5.1,0.9,0.49,0.4,0.64
27,Czech Republic,0.878,10.5,10.5,78.8,28144.0,11.1,12.3,12.1,12.6,1.4,0.76,0.47,0.39,0.57
28,Greece,0.866,11.0,10.5,81.1,24808.0,21.1,10.5,10.3,10.8,11.7,0.52,0.71,0.14,0.52
29,Brunei Darussalam,0.865,0.400000006,0.5,79.0,72843.0,,9.0,9.0,9.1,,0.46,0.33,0.43,0.4
30,Estonia,0.865,1.2999999523,1.2000000477,77.0,26362.0,18.7,12.5,13.0,12.2,2.3,0.71,0.7,0.65,0.69
31,Andorra,0.858,0.1000000015,0.1000000015,81.5,47979.0,,10.3,10.2,10.3,,,,0.95,
32,Cyprus,0.856,1.2000000477,1.2999999523,80.3,29459.0,15.9,11.7,11.6,11.9,12.4,0.88,0.58,0.2,0.62
